exception_id,payment_id,transaction_id,invoice_id,customer_id,payment_date,settlement_date,amount,settled_amount,invoice_amount,fees,tax,settlement_difference,invoice_difference,settlement_delay_days,issues,severity,investigation_summary,recommended_action,payment_method,currency,controller_priority,workflow,automation_status,queue_status,controller_version,ai_risk_level,likely_cause,ai_reasoning,ai_recommended_action,requires_human_review,proposed_action,action_risk,approval_required,action_status,execution_allowed,reviewer,review_decision,review_comments,execution_result,approval_status
EXC00001,PAY00005,TXN00005,INV00005,CUST0217,2026-07-22,2026-07-24,28148.2,28148.2,30162.88,422.22,76.0,0.0,-2014.6800000000003,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹28,148.20, while invoice amount is ₹30,162.88, creating a difference of ₹2,014.68.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,CARD,INR,MEDIUM,HUMAN_REVIEW,NOT_AUTOMATED,PENDING,v1.0,MEDIUM,"The payment amount is less than the billed invoice amount, indicating a potential underpayment or an unrecorded adjustment.","The system detected an 'INVOICE_MISMATCH'. The Payment Amount of ₹28,148.20 and Settlement Amount of 28148.2 are less than the Invoice Amount of ₹30,162.88. This results in an Invoice Difference of ₹-2,014.68 (₹28,148.20 - ₹30,162.88 = -₹2,014.68). The Settlement Difference of ₹0.00 confirms that the amount received matched the payment initiated, but not the full invoice value.","Investigate the reason for the ₹2,014.68 discrepancy. Review Customer CUST0217's account history, payment terms for INV00005, and check for any unapplied discounts, credits, or prior partial payments that might explain why the payment amount differs from the total invoice amount. Confirm if this was an intended partial payment or an error.",True,REVIEW_INVOICE_DIFFERENCE,MEDIUM,REQUIRED,PENDING_APPROVAL,True,DEMO_REVIEWER,APPROVE,Approved for sandbox execution.,SANDBOX_VERIFIED,VERIFIED
EXC00002,PAY00020,TXN00020,INV00020,CUST0233,2026-07-01,2026-07-02,95404.68,95404.68,99333.51,1431.07,257.59,0.0,-3928.8300000000017,1.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹95,404.68, while invoice amount is ₹99,333.51, creating a difference of ₹3,928.83.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,NETBANKING,INR,MEDIUM,HUMAN_REVIEW,NOT_AUTOMATED,PENDING,v1.0,MEDIUM,The customer underpaid the invoice amount.,"The detected issue is an 'INVOICE_MISMATCH'. The Payment Amount (₹95,404.68) is less than the Invoice Amount (₹99,333.51). The difference between the Invoice Amount and the Payment Amount is ₹3,928.83 (₹99,333.51 - ₹95,404.68). This directly matches the 'Invoice Difference' of ₹-3,928.83 provided, indicating an underpayment relative to the invoice. The 'Settlement Difference' is ₹0.00, confirming that the payment received was settled correctly for the amount received, hence the discrepancy lies between the payment and the invoice, not in the settlement process itself.","Investigate the reason for the underpayment. This should include reviewing the customer's account for any applied discounts, credit notes, or prior partial payment arrangements that might explain the reduced payment. Consider contacting the customer (CUST0233) for clarification on the payment amount.",True,REVIEW_INVOICE_DIFFERENCE,MEDIUM,REQUIRED,PENDING_APPROVAL,True,DEMO_REVIEWER,APPROVE,,REVIEW_ONLY,APPROVED
EXC00003,PAY00024,TXN00024,INV00024,CUST0273,2026-08-19,2026-08-21,13013.17,13013.17,13013.17,195.2,35.14,0.0,0.0,2.0,DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00024 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,WALLET,INR,MEDIUM,HUMAN_REVIEW,NOT_AUTOMATED,PENDING,v1.0,MEDIUM,"The system detected a duplicate payment for Invoice INV00024. However, the provided financial data package (associated with EXC00003) only details one payment event (PAY00024) that fully matches the invoice amount. The actual duplicate transaction or payment record that triggered the alert is not present in the current evidence.","The `Detected Issue` is explicitly stated as `DUPLICATE_PAYMENT`. The Payment Amount (₹13,013.17) for PAY00024 exactly matches the Invoice Amount (₹13,013.17) for INV00024, resulting in a ₹0.00 Invoice Difference. While the system has flagged this as a duplicate, the financial data provided within this exception report only describes a single successful payment (PAY00024) for the specified invoice. To confirm a duplicate payment, evidence of a second distinct payment transaction for the same Invoice ID INV00024 is required, which is currently missing from the provided details.","Initiate a detailed query of the payment system to retrieve and analyze all payment records (transactions and their statuses) associated with Invoice ID INV00024 and Customer ID CUST0273. The objective is to identify if multiple distinct payment events were successfully processed for this single invoice, or if the DUPLICATE_PAYMENT alert is a false positive due to other factors (e.g., re-attempted payment that did not complete, but was logged as a duplicate attempt).",True,INVESTIGATE_DUPLICATE,HIGH,REQUIRED,PENDING_APPROVAL,True,DEMO_FINANCE_REVIEWER,APPROVE,Approved for controlled sandbox execution.,SANDBOX_VERIFIED,VERIFIED
EXC00004,PAY00024_DUP,TXN00024_DUP,INV00024,CUST0273,2026-08-19,,13013.17,,13013.17,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00024_DUP for ₹13,013.17 has no settlement record. Payment PAY00024_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,MEDIUM,"A duplicate payment attempt (TXN00024_DUP) was recorded for Invoice INV00024, but the corresponding financial settlement for this specific transaction is missing or unconfirmed.","The transaction ID (TXN00024_DUP) and Payment ID (PAY00024_DUP) contain a '_DUP' suffix, and the detected issue includes 'DUPLICATE_PAYMENT'. The Payment Amount (₹13,013.17) exactly matches the Invoice Amount (₹13,013.17), with an Invoice Difference of ₹0.00, indicating an attempt to pay the correct invoice value. However, the 'Settlement Amount', 'Settlement Date', and 'Settlement Difference' are all 'nan', which is consistent with the 'MISSING_SETTLEMENT' detection. This suggests that while a duplicate payment attempt was initiated or recorded, its final settlement status is unknown within the provided data for this specific transaction.","Investigate the actual settlement status of Transaction TXN00024_DUP with the payment provider (WALLET). Concurrently, verify if Invoice INV00024 has already been paid and settled by another transaction to confirm the 'DUPLICATE_PAYMENT' aspect.",True,VERIFY_SETTLEMENT,HIGH,REQUIRED,VERIFIED,True,API_FINANCE_REVIEWER,APPROVE,Approved for controlled sandbox execution.,SANDBOX_VERIFIED,VERIFIED
EXC00005,PAY00025,TXN00025,INV00025,CUST0271,2026-08-08,,42602.23,,42602.23,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00025 for ₹42,602.23 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR,MEDIUM,HUMAN_REVIEW,NOT_AUTOMATED,PENDING,v1.0,MEDIUM,"The most plausible cause is an unrecorded or delayed settlement for Payment ID PAY00025. Given the Payment Date is 2026-08-08, it is also plausible that the 'MISSING_SETTLEMENT' exception was triggered prematurely if the current processing date is prior to this payment date and settlement is not yet due.","The detected issue is explicitly 'MISSING_SETTLEMENT' with a 'Current Severity' of MEDIUM. This is supported by the absence of settlement-related financial data: 'Settlement Amount', 'Settlement Date', 'Fees', 'Tax', and 'Settlement Difference' are all 'nan'. The 'Payment Amount' of ₹42,602.23 matches the 'Invoice Amount' precisely, with an 'Invoice Difference' of ₹0.00, indicating that the customer's payment against the invoice was correct. The payment method is 'CARD', which typically involves a payment processor clearing and settling funds. A significant observation is the 'Payment Date' of 2026-08-08. If the current date is prior to this, the exception might be a false positive, as settlement would not yet be expected. However, if the system is flagging this as an exception, it implies an expected settlement timeline has been missed, or the system is operating in a context where 2026-08-08 is considered a past or current date for this transaction.","1. **Verify Transaction Timing:** Confirm the actual date of processing and determine if the 'Payment Date' (2026-08-08) is a past, current, or future date relative to the system's present operational context. This will clarify if the settlement is genuinely overdue or not yet due. 
2. **System Logic Review (if applicable):** If the 'Payment Date' is found to be in the future, investigate the system's exception triggering logic to understand why a 'MISSING_SETTLEMENT' exception was generated prematurely. 
3. **Trace Settlement (if applicable):** If the 'Payment Date' has passed, initiate an inquiry with the payment processor for 'PAY00025' and 'TXN00025' to ascertain the settlement status and verify if funds have been transferred to the merchant's bank account. Cross-reference this information with internal bank statements and settlement reports.",True,VERIFY_SETTLEMENT,MEDIUM,REQUIRED,VERIFIED,True,FINANCE_REVIEWER,APPROVE,Approved for controlled sandbox execution.,SANDBOX_VERIFIED,VERIFIED
EXC00006,PAY00036,TXN00036,INV00036,CUST0206,2026-07-04,2026-07-15,16881.39,16881.39,16881.39,253.22,45.58,0.0,0.0,11.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 11.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,UPI,INR,MEDIUM,HUMAN_REVIEW,NOT_AUTOMATED,PENDING,v1.0,MEDIUM,A processing delay in the settlement of funds.,"The `Detected Issue` is `DELAYED_SETTLEMENT`, which is explicitly confirmed by the `Settlement Delay` of 11.0 days between the `Payment Date` (2026-07-04) and `Settlement Date` (2026-07-15). Crucially, the `Settlement Difference` is ₹0.00, indicating that the full and correct `Payment Amount` of ₹16,881.39 was eventually settled without any discrepancy. The delay points towards potential processing delays within the banking system or payment gateway, which can occur due to various factors such as public holidays, internal system issues, or standard clearing cycles, even for payment methods like UPI that are typically considered instant.",Investigate the root cause of the 11-day settlement delay with the payment processor and the relevant bank to identify if this was an isolated incident or part of a systemic issue. Verify the settlement status in the core banking system and update internal records to reflect the actual settlement date. Communicate the settlement status to all relevant stakeholders.,True,REVIEW_SETTLEMENT_DELAY,MEDIUM,REQUIRED,APPROVED,True,FINANCE_REVIEWER,APPROVE,Approved for controlled sandbox execution.,NOT_EXECUTED,APPROVED
EXC00007,PAY00045,TXN00045,INV00045,CUST0136,2026-07-09,2026-07-11,93359.31,92959.59,93359.31,1400.39,252.07,399.7200000000012,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹93,359.31, while settled amount is ₹92,959.59, creating a difference of ₹399.72.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR,LOW,RULE_BASED_REVIEW,SAFE_REVIEW_ONLY,PENDING,v1.0,LOW,Discrepancy in applied fees/tax or an unexpected adjustment by the payment processor.,"The `Detected Issue` is `AMOUNT_MISMATCH`. The `Payment Amount` (₹93,359.31) perfectly matches the `Invoice Amount` (₹93,359.31), confirmed by `Invoice Difference: ₹0.00`. The mismatch arises because the `Settlement Amount` (₹92,959.59) is less than the `Payment Amount`. The explicit `Settlement Difference` of `₹399.72` reflects this exact shortfall (`₹93,359.31 - ₹92,959.59`).

The provided `Fees` (₹1,400.39) and `Tax` (₹252.07) typically represent deductions from the payment. If these were fully applied, the total expected deduction would be `₹1,400.39 + ₹252.07 = ₹1,652.46`. Consequently, the expected `Settlement Amount` would be `₹93,359.31 - ₹1,652.46 = ₹91,706.85`.

However, the `Actual Settlement Amount` is `₹92,959.59`. This means the actual total deduction applied to the payment was only `₹399.72`. This actual deduction (`₹399.72`) is significantly less than the sum of the listed `Fees` and `Tax` (`₹1,652.46`), indicating an inconsistency in how fees and tax were applied, or that the listed fees and tax are not fully relevant to this specific settlement's deduction.","Obtain and review the detailed transaction settlement report or statement from the UPI payment processor for Transaction ID TXN00045. Specifically, identify the exact breakdown of all deductions (including processing fees, taxes, or other charges) that resulted in the `Settlement Amount` of ₹92,959.59. Compare these actual deductions against the expected `Fees` of ₹1,400.39 and `Tax` of ₹252.07.",True,REVIEW_SETTLEMENT_DIFFERENCE,LOW,NOT_REQUIRED,READY_FOR_REVIEW,False,,PENDING,,NOT_EXECUTED,READY_FOR_REVIEW
EXC00008,PAY00053,TXN00053,INV00053,CUST0187,2026-08-20,2026-08-23,97233.53,96659.42,97233.53,1458.5,262.53,574.1100000000006,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹97,233.53, while settled amount is ₹96,659.42, creating a difference of ₹574.11.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR,LOW,RULE_BASED_REVIEW,SAFE_REVIEW_ONLY,PENDING,v1.0,LOW,Unexplained settlement deduction.,"The Payment Amount (₹97,233.53) exactly matches the Invoice Amount (₹97,233.53), resulting in an Invoice Difference of ₹0.00. However, the Settlement Amount (₹96,659.42) is less than the Payment Amount. The Settlement Difference of ₹574.11 accurately represents the difference between the Payment Amount and the Settlement Amount (₹97,233.53 - ₹96,659.42 = ₹574.11). The provided Fees (₹1,458.50) and Tax (₹262.53) sum to ₹1,721.03, which does not explain the observed Settlement Difference of ₹574.11. This indicates that the ₹574.11 deduction from the payment amount to arrive at the settlement amount is currently unaccounted for by the provided Fees and Tax details.","Investigate the detailed settlement report from the UPI payment processor for Transaction ID TXN00053 to identify the precise nature of the ₹574.11 discrepancy. Reconcile this amount against any additional charges, adjustments, or unreported fees not covered by the provided 'Fees' and 'Tax' fields.",True,REVIEW_SETTLEMENT_DIFFERENCE,LOW,NOT_REQUIRED,READY_FOR_REVIEW,False,,PENDING,,NOT_EXECUTED,READY_FOR_REVIEW
EXC00009,PAY00054,TXN00054,INV00054,CUST0053,2026-07-23,2026-07-24,78121.57,78121.57,81994.22,1171.82,210.93,0.0,-3872.649999999994,1.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹78,121.57, while invoice amount is ₹81,994.22, creating a difference of ₹3,872.65.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,WALLET,INR,MEDIUM,HUMAN_REVIEW,NOT_AUTOMATED,PENDING,v1.0,MEDIUM,"The payment received is less than the total invoice amount, indicating a partial payment or an unapplied credit/discount.","The detected issue is INVOICE_MISMATCH. The Payment Amount (₹78,121.57) is less than the Invoice Amount (₹81,994.22) resulting in an Invoice Difference of ₹-3,872.65. The Settlement Amount matches the Payment Amount, confirming the received funds were ₹78,121.57. This discrepancy directly indicates a shortfall in the amount paid relative to the invoice, rather than a settlement issue or fee discrepancy.","Initiate an internal review to investigate the reason for the partial payment. This should include examining the invoice line items, checking for any applied discounts, credits, or historical agreements that might explain the difference, and reviewing customer communication logs. A human reviewer must approve any subsequent actions, such as contacting the customer or adjusting ledger entries.",True,REVIEW_INVOICE_DIFFERENCE,MEDIUM,REQUIRED,APPROVED,True,FINANCE_REVIEWER,APPROVE,Approved for controlled sandbox execution.,REVIEW_ONLY,APPROVED
EXC00010,PAY00059,TXN00059,INV00059,CUST0180,2026-08-11,2026-08-13,51185.86,51185.86,51185.86,767.79,138.2,0.0,0.0,2.0,DUPLICATE_PAYMENT,HIGH,"Payment PAY00059 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,NETBANKING,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,HIGH,"The system detected a DUPLICATE_PAYMENT for Invoice INV00059, implying a second payment transaction, identical or similar to PAY00059, was processed for the same invoice. However, the detailed information for this alleged duplicate payment is not included in the provided evidence.","The provided evidence confirms that Payment ID PAY00059 perfectly matches Invoice ID INV00059 in amount (₹51,185.86) with zero settlement and invoice differences. The exception explicitly states 'DUPLICATE_PAYMENT' with a 'HIGH' severity. While this indicates that another payment for the same invoice is believed to exist, the current dataset only contains the details of a single, correctly processed payment (PAY00059). Without the specific details of the second payment transaction, it is not possible to confirm its existence, reconcile the reason for the duplication (e.g., customer error, system re-processing), or identify its exact nature.","Retrieve the full transaction details of the alleged duplicate payment associated with Invoice INV00059. This information should include the Payment ID, Transaction ID, Payment Amount, Payment Date, Settlement Date, and Payment Method. Once retrieved, compare these details against PAY00059 to confirm the duplication and determine the most plausible cause.",True,INVESTIGATE_DUPLICATE,HIGH,REQUIRED,VERIFIED,True,FINANCE_REVIEWER,APPROVE,Approved for controlled sandbox execution.,SANDBOX_VERIFIED,VERIFIED
