exception_id,payment_id,transaction_id,invoice_id,customer_id,payment_date,settlement_date,amount,settled_amount,invoice_amount,fees,tax,settlement_difference,invoice_difference,settlement_delay_days,issues,severity,investigation_summary,recommended_action,payment_method,currency,controller_priority,workflow,automation_status,queue_status,controller_version,ai_status,ai_attempts,ai_result_available,ai_error
EXC00004,PAY00024_DUP,TXN00024_DUP,INV00024,CUST0273,2026-08-19,,13013.17,,13013.17,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00024_DUP for ₹13,013.17 has no settlement record. Payment PAY00024_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00010,PAY00059,TXN00059,INV00059,CUST0180,2026-08-11,2026-08-13,51185.86,51185.86,51185.86,767.79,138.2,0.0,0.0,2.0,DUPLICATE_PAYMENT,HIGH,"Payment PAY00059 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,NETBANKING,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00011,PAY00059_DUP,TXN00059_DUP,INV00059,CUST0180,2026-08-11,,51185.86,,51185.86,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,HIGH,"Payment PAY00059_DUP for ₹51,185.86 has no settlement record. Payment PAY00059_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00019,PAY00123,TXN00123,INV00123,CUST0090,2026-07-31,,52136.9,,52136.9,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00123 for ₹52,136.90 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00027,PAY00155,TXN00155,INV00155,CUST0297,2026-07-24,,73369.8,,73369.8,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00155 for ₹73,369.80 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00032,PAY00168_DUP,TXN00168_DUP,INV00168,CUST0032,2026-07-26,,27950.2,,27950.2,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00168_DUP for ₹27,950.20 has no settlement record. Payment PAY00168_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00039,PAY00221,TXN00221,INV00221,CUST0159,2026-07-12,2026-07-13,95141.35,95141.35,95141.35,1427.12,256.88,0.0,0.0,1.0,DUPLICATE_PAYMENT,HIGH,"Payment PAY00221 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,NETBANKING,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00040,PAY00221_DUP,TXN00221_DUP,INV00221,CUST0159,2026-07-12,,95141.35,,95141.35,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,HIGH,"Payment PAY00221_DUP for ₹95,141.35 has no settlement record. Payment PAY00221_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00044,PAY00232_DUP,TXN00232_DUP,INV00232,CUST0042,2026-07-24,,22841.61,,22841.61,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00232_DUP for ₹22,841.61 has no settlement record. Payment PAY00232_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00054,PAY00309,TXN00309,INV00309,CUST0046,2026-08-11,,57626.27,,57626.27,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00309 for ₹57,626.27 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00058,PAY00334_DUP,TXN00334_DUP,INV00334,CUST0236,2026-07-23,,15934.58,,15934.58,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00334_DUP for ₹15,934.58 has no settlement record. Payment PAY00334_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00063,PAY00369,TXN00369,INV00369,CUST0074,2026-08-18,,82158.73,,82158.73,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00369 for ₹82,158.73 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00065,PAY00383_DUP,TXN00383_DUP,INV00383,CUST0248,2026-08-20,,8153.68,,8153.68,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00383_DUP for ₹8,153.68 has no settlement record. Payment PAY00383_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
