exception_id,payment_id,transaction_id,invoice_id,customer_id,payment_date,settlement_date,amount,settled_amount,invoice_amount,fees,tax,settlement_difference,invoice_difference,settlement_delay_days,issues,severity,investigation_summary,recommended_action,payment_method,currency
EXC00001,PAY00005,TXN00005,INV00005,CUST0217,2026-07-22,2026-07-24,28148.2,28148.2,30162.88,422.22,76.0,0.0,-2014.6800000000003,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹28,148.20, while invoice amount is ₹30,162.88, creating a difference of ₹2,014.68.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,CARD,INR
EXC00002,PAY00020,TXN00020,INV00020,CUST0233,2026-07-01,2026-07-02,95404.68,95404.68,99333.51,1431.07,257.59,0.0,-3928.8300000000017,1.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹95,404.68, while invoice amount is ₹99,333.51, creating a difference of ₹3,928.83.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,NETBANKING,INR
EXC00003,PAY00024,TXN00024,INV00024,CUST0273,2026-08-19,2026-08-21,13013.17,13013.17,13013.17,195.2,35.14,0.0,0.0,2.0,DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00024 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,WALLET,INR
EXC00004,PAY00024_DUP,TXN00024_DUP,INV00024,CUST0273,2026-08-19,,13013.17,,13013.17,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00024_DUP for ₹13,013.17 has no settlement record. Payment PAY00024_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR
EXC00005,PAY00025,TXN00025,INV00025,CUST0271,2026-08-08,,42602.23,,42602.23,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00025 for ₹42,602.23 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR
EXC00006,PAY00036,TXN00036,INV00036,CUST0206,2026-07-04,2026-07-15,16881.39,16881.39,16881.39,253.22,45.58,0.0,0.0,11.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 11.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,UPI,INR
EXC00007,PAY00045,TXN00045,INV00045,CUST0136,2026-07-09,2026-07-11,93359.31,92959.59,93359.31,1400.39,252.07,399.72000000000116,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹93,359.31, while settled amount is ₹92,959.59, creating a difference of ₹399.72.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR
EXC00008,PAY00053,TXN00053,INV00053,CUST0187,2026-08-20,2026-08-23,97233.53,96659.42,97233.53,1458.5,262.53,574.1100000000006,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹97,233.53, while settled amount is ₹96,659.42, creating a difference of ₹574.11.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR
EXC00009,PAY00054,TXN00054,INV00054,CUST0053,2026-07-23,2026-07-24,78121.57,78121.57,81994.22,1171.82,210.93,0.0,-3872.649999999994,1.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹78,121.57, while invoice amount is ₹81,994.22, creating a difference of ₹3,872.65.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,WALLET,INR
EXC00010,PAY00059,TXN00059,INV00059,CUST0180,2026-08-11,2026-08-13,51185.86,51185.86,51185.86,767.79,138.2,0.0,0.0,2.0,DUPLICATE_PAYMENT,HIGH,"Payment PAY00059 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,NETBANKING,INR
EXC00011,PAY00059_DUP,TXN00059_DUP,INV00059,CUST0180,2026-08-11,,51185.86,,51185.86,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,HIGH,"Payment PAY00059_DUP for ₹51,185.86 has no settlement record. Payment PAY00059_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR
EXC00012,PAY00074,TXN00074,INV00074,CUST0266,2026-07-30,,5496.73,,5496.73,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00074 for ₹5,496.73 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR
EXC00013,PAY00075,TXN00075,INV00075,CUST0069,2026-07-30,2026-08-02,66923.98,66923.98,71435.4,1003.86,180.69,0.0,-4511.419999999998,3.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹66,923.98, while invoice amount is ₹71,435.40, creating a difference of ₹4,511.42.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,NETBANKING,INR
EXC00014,PAY00076,TXN00076,INV00076,CUST0259,2026-07-28,2026-07-30,83141.63,82186.5,83141.63,1247.12,224.48,955.1300000000047,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹83,141.63, while settled amount is ₹82,186.50, creating a difference of ₹955.13.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
EXC00015,PAY00087,TXN00087,INV00087,CUST0042,2026-07-31,2026-08-08,2428.64,2428.64,2428.64,36.43,6.56,0.0,0.0,8.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 8.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,UPI,INR
EXC00016,PAY00106,TXN00106,INV00106,CUST0142,2026-08-16,2026-08-26,59163.9,59163.9,59163.9,887.46,159.74,0.0,0.0,10.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 10.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,NETBANKING,INR
EXC00017,PAY00121,TXN00121,INV00121,CUST0277,2026-08-01,2026-08-03,44057.01,42809.95,44057.01,660.86,118.95,1247.060000000005,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹44,057.01, while settled amount is ₹42,809.95, creating a difference of ₹1,247.06.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR
EXC00018,PAY00122,TXN00122,INV00122,CUST0014,2026-07-06,2026-07-13,23277.98,23277.98,23277.98,349.17,62.85,0.0,0.0,7.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 7.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,UPI,INR
EXC00019,PAY00123,TXN00123,INV00123,CUST0090,2026-07-31,,52136.9,,52136.9,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00123 for ₹52,136.90 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR
EXC00020,PAY00127,TXN00127,INV00127,CUST0166,2026-07-08,2026-07-11,97033.38,95281.58,97033.38,1455.5,261.99,1751.800000000003,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹97,033.38, while settled amount is ₹95,281.58, creating a difference of ₹1,751.80.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
EXC00021,PAY00131,TXN00131,INV00131,CUST0008,2026-08-05,2026-08-13,41095.07,41095.07,41095.07,616.43,110.96,0.0,0.0,8.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 8.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,CARD,INR
EXC00022,PAY00135,TXN00135,INV00135,CUST0002,2026-07-19,2026-07-22,72742.07,71721.82,72742.07,1091.13,196.4,1020.25,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹72,742.07, while settled amount is ₹71,721.82, creating a difference of ₹1,020.25.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
EXC00023,PAY00139,TXN00139,INV00139,CUST0258,2026-08-07,2026-08-08,33533.47,32434.16,33533.47,503.0,90.54,1099.3100000000013,0.0,1.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹33,533.47, while settled amount is ₹32,434.16, creating a difference of ₹1,099.31.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR
EXC00024,PAY00140,TXN00140,INV00140,CUST0234,2026-07-01,2026-07-02,72383.16,71391.13,72383.16,1085.75,195.44,992.0299999999988,0.0,1.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹72,383.16, while settled amount is ₹71,391.13, creating a difference of ₹992.03.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
EXC00025,PAY00142,TXN00142,INV00142,CUST0274,2026-07-25,2026-07-28,95436.89,95206.89,95436.89,1431.55,257.68,230.0,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹95,436.89, while settled amount is ₹95,206.89, creating a difference of ₹230.00.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
